                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.03.1"          1.5000000000000002E+001          1.2000000000000000E+001          2.0000000000000000E+001                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20250203" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51 
                           J_orb                             Jdot                              age                binary_separation                      donor_index                eff_xfer_fraction                       extra_jdot              fixed_xfer_fraction                          jdot_gr                          jdot_ls                          jdot_mb                jdot_missing_wind                          jdot_ml                   lg_mstar_dot_1                   lg_mstar_dot_2                lg_mtransfer_rate                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                     model_number                      period_days                 point_mass_index                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                          v_orb_1                          v_orb_2                          bh_spin                P_rot_div_P_orb_1                P_rot_div_P_orb_2                acc_am_div_kep_am                         J_spin_1                         J_spin_2                          J_total                   accretion_mode                      lg_mdot_edd          lg_accretion_luminosity                      lg_t_sync_1                      lg_t_sync_2                    star_1_radius                    star_2_radius                      trap_radius                       acc_radius                     t_sync_rad_1                    t_sync_conv_1                     t_sync_rad_2                    t_sync_conv_2 
         2.0186120613511016E+054         -1.2175232661797537E+037          1.1475506210984938E+002          9.3020582424360697E+001                                1          0.0000000000000000E+000          0.0000000000000000E+000          1.0000000000000000E+000         -3.4553837551200364E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -1.2171777278042417E+037         -8.1923211558682709E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.1923211558682709E+000         -9.8999999999999986E+001                                1          2.0000001091437571E+001                                2          3.7057526334068299E+001          3.3466230586240393E+001         -8.6769851621903982E-001         -1.0000000000000000E+000          1.4999999263028492E+001          1.2000000000000000E+001          1.0458144977951468E+002          1.3072680580159766E+002          0.0000000000000000E+000         -9.9999999999999997E+098          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          2.0186120613511016E+054                                0         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          4.9027657192492420E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -9.9999999999999997E+098         -1.0000000000000000E+000         -1.0000000000000000E+000         -1.0000000000000000E+000         -1.0000000000000000E+000 
